hz,promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi
0.728205,0.322913
0.853846,0.312982
0.979487,0.3423
1.10513,0.317846
1.23077,0.320985
1.35641,0.32836
1.48205,0.326511
1.60769,0.486104
1.73333,0.366162
1.85897,0.371039
1.98462,0.507386
2.11026,0.429516
2.2359,0.543956
2.36154,0.625862
2.48718,0.376519
2.61282,0.397558
2.73846,0.614093
2.8641,0.576701
2.98974,0.605626
3.11538,0.466551
3.24103,0.421475
3.36667,0.413329
3.49231,0.612449
3.61795,0.516034
3.74359,0.414491
3.86923,0.618841
3.99487,0.585099
4.12051,0.653878
4.24615,0.602569
4.37179,0.381788
4.49744,0.786896
4.62308,0.61516
4.74872,0.478085
4.87436,0.541348
5.,0.456749
0.1,0.319668
0.225641,0.319177
0.351282,0.304778
0.476923,0.308215
0.602564,0.310734
0.728205,0.312681
0.853846,0.320175
0.979487,0.317803
1.10513,0.328877
1.23077,0.397652
1.35641,0.369421
1.48205,0.351435
1.60769,0.440435
1.73333,0.515131
1.85897,0.534996
1.98462,0.413512
2.11026,0.50256
2.2359,0.484362
2.36154,0.509483
2.48718,0.488824
2.61282,0.342758
2.73846,0.476179
2.8641,0.675155
2.98974,0.640896
3.11538,0.556075
3.24103,0.590153
3.36667,0.623487
3.49231,0.437267
3.61795,0.498951
3.74359,0.442417
3.86923,0.756494
3.99487,0.648866
4.12051,0.641637
4.24615,0.545015
4.37179,0.416898
4.49744,0.520496
4.62308,0.655657
4.74872,0.660942
4.87436,0.478494
5.,0.524336
0.1,0.323005
0.225641,0.309463
0.351282,0.311193
0.476923,0.313192
0.602564,0.306864
0.728205,0.307151
0.853846,0.316206
0.979487,0.36486
1.10513,0.31283
1.23077,0.38862
1.35641,0.417031
1.48205,0.341481
1.60769,0.494129
1.73333,0.494242
1.85897,0.32168
1.98462,0.412996
2.11026,0.446045
2.2359,0.436801
2.36154,0.537183
2.48718,0.348777
2.61282,0.531649
2.73846,0.521946
2.8641,0.42717
2.98974,0.440631
3.11538,0.495431
3.24103,0.40705
3.36667,0.506909
3.49231,0.583055
3.61795,0.59205
3.74359,0.682345
3.86923,0.623015
3.99487,0.498605
4.12051,0.562222
4.24615,0.497349
4.37179,0.489472
4.49744,0.503561
4.62308,0.544513
