"\varepsilon","J_{xy}","promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi"
1.5,1.2000000000000002,0.30342716210881543
1.6,1.2000000000000002,0.3052189957031371
1.7000000000000002,1.2000000000000002,0.30672282405032353
1.8,1.2000000000000002,0.30867981074103
1.9000000000000001,1.2000000000000002,0.3097779004701913
2.,1.2000000000000002,0.3114207521027833
0.,1.3,0.30009340771584125
0.1,1.3,0.2991212350830611
0.2,1.3,0.297911725486598
0.30000000000000004,1.3,0.29709555640151086
0.4,1.3,0.2963989207512713
0.5,1.3,0.2958034769207375
0.6000000000000001,1.3,0.2958014287149648
0.7000000000000001,1.3,0.2960531133900683
0.8,1.3,0.29597245949402945
0.9,1.3,0.29631702890574624
1.,1.3,0.29677382114348566
1.1,1.3,0.29755211259711667
1.2000000000000002,1.3,0.29794981483302274
1.3,1.3,0.2985790954747541
1.4000000000000001,1.3,0.2996859203570285
1.5,1.3,0.30044570956131217
1.6,1.3,0.302228393535787
1.7000000000000002,1.3,0.3034132493560577
1.8,1.3,0.304533617568159
1.9000000000000001,1.3,0.30556751047023595
2.,1.3,0.30685412974384385
0.,1.4000000000000001,0.30258379921311734
0.1,1.4000000000000001,0.300821966369812
0.2,1.4000000000000001,0.29930111911468266
0.30000000000000004,1.4000000000000001,0.2979067159443671
0.4,1.4000000000000001,0.29634902106389666
0.5,1.4000000000000001,0.2953911696896229
0.6000000000000001,1.4000000000000001,0.29512231352691826
0.7000000000000001,1.4000000000000001,0.29510804303384625
0.8,1.4000000000000001,0.2949344914840365
0.9,1.4000000000000001,0.29508846477018025
1.,1.4000000000000001,0.29544875017215383
1.1,1.4000000000000001,0.29588085161846606
1.2000000000000002,1.4000000000000001,0.2967299943611023
1.3,1.4000000000000001,0.2970455608542076
1.4000000000000001,1.4000000000000001,0.29743592099221333
1.5,1.4000000000000001,0.2982667550306009
1.6,1.4000000000000001,0.29899389431169754
1.7000000000000002,1.4000000000000001,0.30050433664419035
1.8,1.4000000000000001,0.3014465707544325
1.9000000000000001,1.4000000000000001,0.3019903130155645
2.,1.4000000000000001,0.30281235200109946
0.,1.5,0.30017390499088725
0.1,1.5,0.2987979178893164
0.2,1.5,0.29760608757603757
0.30000000000000004,1.5,0.2965843597024366
0.4,1.5,0.2955449707165236
0.5,1.5,0.29456579229150626
0.6000000000000001,1.5,0.2941513152692579
0.7000000000000001,1.5,0.29418978061686907
0.8,1.5,0.2943504875115992
0.9,1.5,0.29432809638456775
1.,1.5,0.2944461793545497
1.1,1.5,0.2948288801191028
1.2000000000000002,1.5,0.2955349307425074
1.3,1.5,0.2961819156712128
1.4000000000000001,1.5,0.2962742287411247
1.5,1.5,0.29676643333957786
1.6,1.5,0.29723269204921815
1.7000000000000002,1.5,0.29774848750557487
1.8,1.5,0.2990082305069739
1.9000000000000001,1.5,0.30000569619683265
2.,1.5,0.3002544853163526
0.,1.6,0.2991346300956565
0.1,1.6,0.2979365540916887
0.2,1.6,0.2969587955377714
0.30000000000000004,1.6,0.2960110399120659
0.4,1.6,0.29505281259002886
0.5,1.6,0.29425935768225253
0.6000000000000001,1.6,0.29375586890383326
0.7000000000000001,1.6,0.29355127457212005
0.8,1.6,0.29352866224025304
0.9,1.6,0.2935069606884079
1.,1.6,0.29355127808728265
1.1,1.6,0.293680030565158
1.2000000000000002,1.6,0.29416309905088783
1.3,1.6,0.29501901418857845
1.4000000000000001,1.6,0.29539164297679094
1.5,1.6,0.2955189093573259
1.6,1.6,0.2957695751505992
1.7000000000000002,1.6,0.29641710721182424
1.8,1.6,0.2968046483996676
1.9000000000000001,1.6,0.29806993442702767
2.,1.6,0.2988936767833073
0.,1.7000000000000002,0.29778629422706504
0.1,1.7000000000000002,0.29690462640404064
0.2,1.7000000000000002,0.29616527785055513
0.30000000000000004,1.7000000000000002,0.2953288821373527
0.4,1.7000000000000002,0.29430374152543076
0.5,1.7000000000000002,0.2938744051508029
0.6000000000000001,1.7000000000000002,0.29336872826941474
0.7000000000000001,1.7000000000000002,0.2928524982025816
0.8,1.7000000000000002,0.292755540730555
0.9,1.7000000000000002,0.29256344309948035
1.,1.7000000000000002,0.29268759699168984
1.1,1.7000000000000002,0.29284191910558677
1.2000000000000002,1.7000000000000002,0.29330593713255976
1.3,1.7000000000000002,0.2939174189132145
1.4000000000000001,1.7000000000000002,0.29465294851314344
1.5,1.7000000000000002,0.2949904477713124
1.6,1.7000000000000002,0.29512905711013504
1.7000000000000002,1.7000000000000002,0.29532694906875284
1.8,1.7000000000000002,0.29584854216523315
1.9000000000000001,1.7000000000000002,0.2960563790183736
2.,1.7000000000000002,0.2972506347431155
0.,1.8,0.29748702139975036
0.1,1.8,0.29646754323282076
0.2,1.8,0.2954720224147115
0.30000000000000004,1.8,0.29486697062004236
0.4,1.8,0.2941612585800396
0.5,1.8,0.29347205995905923
0.6000000000000001,1.8,0.2930835867083757
0.7000000000000001,1.8,0.29270063930500817
0.8,1.8,0.29236892269844705
0.9,1.8,0.29206299962318544
1.,1.8,0.2921377969720265
1.1,1.8,0.29232419341779864
1.2000000000000002,1.8,0.2924538807832028
1.3,1.8,0.2929178486349479
1.4000000000000001,1.8,0.2936897719209772
1.5,1.8,0.29408748649385474
1.6,1.8,0.29464685670029245
1.7000000000000002,1.8,0.29470778492572197
1.8,1.8,0.29500077941597425
1.9000000000000001,1.8,0.2953166367792495
2.,1.8,0.2956637638962192
0.,1.9000000000000001,0.29752223654564264
0.1,1.9000000000000001,0.29652835391087407
0.2,1.9000000000000001,0.2956728604682209
0.30000000000000004,1.9000000000000001,0.2950616056748167
0.4,1.9000000000000001,0.29418530196983966
0.5,1.9000000000000001,0.293337470609761
0.6000000000000001,1.9000000000000001,0.2927298819368039
0.7000000000000001,1.9000000000000001,0.2924365496347479
