hz,J,promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi
1.8,0.9,0.455432
1.8,1.,0.439756
1.8,1.1,0.415057
1.8,1.2,0.409989
1.8,1.3,0.405535
1.8,1.4,0.394647
1.8,1.5,0.380864
1.8,1.6,0.383168
1.8,1.7,0.367553
1.8,1.8,0.365183
1.8,1.9,0.373374
1.8,2.,0.375274
1.8,2.1,0.37953
1.8,2.2,0.387172
1.8,2.3,0.384213
1.8,2.4,0.398075
1.8,2.5,0.399554
1.8,2.6,0.407068
1.8,2.7,0.421523
1.8,2.8,0.428237
1.8,2.9,0.433187
1.8,3.,0.438701
1.9,0.,1.
1.9,0.1,0.685991
1.9,0.2,0.615107
1.9,0.3,0.584115
1.9,0.4,0.566806
1.9,0.5,0.555713
1.9,0.6,0.537498
1.9,0.7,0.511459
1.9,0.8,0.490164
1.9,0.9,0.468918
1.9,1.,0.456551
1.9,1.1,0.437138
1.9,1.2,0.417258
1.9,1.3,0.416496
1.9,1.4,0.413374
1.9,1.5,0.404745
1.9,1.6,0.387671
1.9,1.7,0.390902
1.9,1.8,0.376788
1.9,1.9,0.371676
1.9,2.,0.381396
1.9,2.1,0.382861
1.9,2.2,0.387563
1.9,2.3,0.391851
1.9,2.4,0.393558
1.9,2.5,0.406701
1.9,2.6,0.420235
1.9,2.7,0.422078
1.9,2.8,0.425411
1.9,2.9,0.440115
1.9,3.,0.436375
2.,0.,1.
2.,0.1,0.700837
2.,0.2,0.627417
2.,0.3,0.59572
2.,0.4,0.57863
2.,0.5,0.569295
2.,0.6,0.555226
2.,0.7,0.531213
2.,0.8,0.510994
2.,0.9,0.489723
2.,1.,0.4694
2.,1.1,0.454764
2.,1.2,0.434991
2.,1.3,0.418044
2.,1.4,0.419635
2.,1.5,0.41381
2.,1.6,0.399043
2.,1.7,0.394246
2.,1.8,0.39677
2.,1.9,0.385673
2.,2.,0.378131
2.,2.1,0.387715
2.,2.2,0.389928
2.,2.3,0.387739
2.,2.4,0.395791
2.,2.5,0.399696
2.,2.6,0.414615
2.,2.7,0.438801
2.,2.8,0.433717
2.,2.9,0.434424
2.,3.,0.443929
2.1,0.,1.
2.1,0.1,0.714418
2.1,0.2,0.638067
2.1,0.3,0.605838
2.1,0.4,0.588318
2.1,0.5,0.578834
2.1,0.6,0.569333
2.1,0.7,0.54817
2.1,0.8,0.527216
2.1,0.9,0.509361
2.1,1.,0.484039
2.1,1.1,0.467728
2.1,1.2,0.44447
2.1,1.3,0.424874
2.1,1.4,0.418156
2.1,1.5,0.424784
2.1,1.6,0.415166
2.1,1.7,0.412794
2.1,1.8,0.397367
2.1,1.9,0.399718
2.1,2.,0.392595
2.1,2.1,0.385063
2.1,2.2,0.393406
2.1,2.3,0.39578
2.1,2.4,0.398705
2.1,2.5,0.400745
2.1,2.6,0.406626
2.1,2.7,0.425721
2.1,2.8,0.44726
2.1,2.9,0.450197
2.1,3.,0.445424
2.2,0.,1.
2.2,0.1,0.726649
2.2,0.2,0.647379
2.2,0.3,0.614582
2.2,0.4,0.595819
2.2,0.5,0.586064
2.2,0.6,0.578696
2.2,0.7,0.561909
2.2,0.8,0.541023
2.2,0.9,0.523412
2.2,1.,0.507724
2.2,1.1,0.485801
2.2,1.2,0.456585
2.2,1.3,0.446221
2.2,1.4,0.431701
2.2,1.5,0.430211
2.2,1.6,0.435399
2.2,1.7,0.404886
2.2,1.8,0.417456
2.2,1.9,0.402265
2.2,2.,0.401793
2.2,2.1,0.398713
2.2,2.2,0.391791
2.2,2.3,0.399237
2.2,2.4,0.40204
2.2,2.5,0.404408
2.2,2.6,0.403371
2.2,2.7,0.415152
2.2,2.8,0.43194
2.2,2.9,0.452174
2.2,3.,0.457772
2.3,0.,1.
2.3,0.1,0.737475
2.3,0.2,0.656091
2.3,0.3,0.622598
2.3,0.4,0.60251
2.3,0.5,0.592782
2.3,0.6,0.585561
2.3,0.7,0.572151
2.3,0.8,0.553462
2.3,0.9,0.535876
2.3,1.,0.523326
2.3,1.1,0.507759
2.3,1.2,0.481826
2.3,1.3,0.458284
2.3,1.4,0.441889
2.3,1.5,0.434469
2.3,1.6,0.439081
2.3,1.7,0.440408
2.3,1.8,0.41309
2.3,1.9,0.419898
2.3,2.,0.406923
2.3,2.1,0.405801
2.3,2.2,0.404774
