"hz","J","pureza del caometro (indicador de Wisniacki)"
1.,2.6,0.587649
1.,2.7,0.590125
1.,2.8,0.595614
1.,2.9,0.610956
1.,3.,0.615604
1.1,0.,1.
1.1,0.1,0.657498
1.1,0.2,0.637035
1.1,0.3,0.621869
1.1,0.4,0.600845
1.1,0.5,0.578579
1.1,0.6,0.596574
1.1,0.7,0.584666
1.1,0.8,0.568878
1.1,0.9,0.560565
1.1,1.,0.559444
1.1,1.1,0.554662
1.1,1.2,0.557058
1.1,1.3,0.557775
1.1,1.4,0.560116
1.1,1.5,0.562973
1.1,1.6,0.559145
1.1,1.7,0.568848
1.1,1.8,0.572425
1.1,1.9,0.589258
1.1,2.,0.580848
1.1,2.1,0.572679
1.1,2.2,0.578127
1.1,2.3,0.565883
1.1,2.4,0.576752
1.1,2.5,0.582505
1.1,2.6,0.588157
1.1,2.7,0.614423
1.1,2.8,0.606799
1.1,2.9,0.623346
1.1,3.,0.620685
1.2,0.,1.
1.2,0.1,0.69144
1.2,0.2,0.647977
1.2,0.3,0.62368
1.2,0.4,0.625057
1.2,0.5,0.598761
1.2,0.6,0.593526
1.2,0.7,0.591086
1.2,0.8,0.594866
1.2,0.9,0.584364
1.2,1.,0.566946
1.2,1.1,0.559462
1.2,1.2,0.567736
1.2,1.3,0.56784
1.2,1.4,0.563476
1.2,1.5,0.560833
1.2,1.6,0.571825
1.2,1.7,0.564197
1.2,1.8,0.560695
1.2,1.9,0.583673
1.2,2.,0.574171
1.2,2.1,0.583369
1.2,2.2,0.580895
1.2,2.3,0.582432
1.2,2.4,0.573057
1.2,2.5,0.575927
1.2,2.6,0.595428
1.2,2.7,0.581351
1.2,2.8,0.615087
1.2,2.9,0.607297
1.2,3.,0.613957
1.3,0.,1.
1.3,0.1,0.69664
1.3,0.2,0.675464
1.3,0.3,0.633711
1.3,0.4,0.618207
1.3,0.5,0.624641
1.3,0.6,0.60671
1.3,0.7,0.607453
1.3,0.8,0.603055
1.3,0.9,0.585394
1.3,1.,0.571371
1.3,1.1,0.561373
1.3,1.2,0.565665
1.3,1.3,0.567029
1.3,1.4,0.573754
1.3,1.5,0.568472
1.3,1.6,0.572795
1.3,1.7,0.568303
1.3,1.8,0.570446
1.3,1.9,0.577555
1.3,2.,0.571871
1.3,2.1,0.571654
1.3,2.2,0.585435
1.3,2.3,0.587817
1.3,2.4,0.588665
1.3,2.5,0.589105
1.3,2.6,0.586313
1.3,2.7,0.585076
1.3,2.8,0.573626
1.3,2.9,0.602047
1.3,3.,0.592238
1.4,0.,1.
1.4,0.1,0.734632
1.4,0.2,0.705304
1.4,0.3,0.642816
1.4,0.4,0.633027
1.4,0.5,0.616983
1.4,0.6,0.634124
1.4,0.7,0.619222
1.4,0.8,0.61225
1.4,0.9,0.611606
1.4,1.,0.566782
1.4,1.1,0.595183
1.4,1.2,0.587021
1.4,1.3,0.571201
1.4,1.4,0.57245
1.4,1.5,0.566293
1.4,1.6,0.577931
1.4,1.7,0.574406
1.4,1.8,0.584975
1.4,1.9,0.58255
1.4,2.,0.588624
1.4,2.1,0.591408
1.4,2.2,0.580847
1.4,2.3,0.579211
1.4,2.4,0.588164
1.4,2.5,0.592008
1.4,2.6,0.596857
1.4,2.7,0.590151
1.4,2.8,0.591937
1.4,2.9,0.586676
1.4,3.,0.601779
1.5,0.,1.
1.5,0.1,0.740298
1.5,0.2,0.702715
1.5,0.3,0.690675
1.5,0.4,0.658934
1.5,0.5,0.643479
1.5,0.6,0.644116
1.5,0.7,0.62823
1.5,0.8,0.630488
1.5,0.9,0.595721
1.5,1.,0.594253
1.5,1.1,0.591315
1.5,1.2,0.58771
1.5,1.3,0.593265
1.5,1.4,0.560677
1.5,1.5,0.574297
1.5,1.6,0.584027
1.5,1.7,0.591044
1.5,1.8,0.580553
1.5,1.9,0.577976
1.5,2.,0.576646
1.5,2.1,0.593687
1.5,2.2,0.584746
1.5,2.3,0.609041
1.5,2.4,0.602882
1.5,2.5,0.603808
1.5,2.6,0.594731
1.5,2.7,0.60049
1.5,2.8,0.602832
1.5,2.9,0.59231
1.5,3.,0.592384
1.6,0.,1.
1.6,0.1,0.759656
1.6,0.2,0.715532
1.6,0.3,0.671248
1.6,0.4,0.684044
1.6,0.5,0.689535
1.6,0.6,0.64036
1.6,0.7,0.659302
1.6,0.8,0.634299
1.6,0.9,0.61057
1.6,1.,0.602344
1.6,1.1,0.593926
1.6,1.2,0.616819
1.6,1.3,0.596687
1.6,1.4,0.599867
1.6,1.5,0.581502
1.6,1.6,0.577092
1.6,1.7,0.59084
1.6,1.8,0.59126
1.6,1.9,0.591231
1.6,2.,0.576507
1.6,2.1,0.59164
1.6,2.2,0.601822
1.6,2.3,0.591807
1.6,2.4,0.611834
1.6,2.5,0.619509
1.6,2.6,0.600181
1.6,2.7,0.603129
1.6,2.8,0.614607
1.6,2.9,0.614293
1.6,3.,0.613657
1.7,0.,1.
1.7,0.1,0.774597
1.7,0.2,0.720345
1.7,0.3,0.711379
