"hz","J","pureza del caometro (indicador de Wisniacki)"
0.9,1.2,0.541563
0.9,1.3,0.538085
0.9,1.4,0.534359
0.9,1.5,0.53796
0.9,1.6,0.543344
0.9,1.7,0.544114
0.9,1.8,0.544236
0.9,1.9,0.542811
0.9,2.,0.551902
0.9,2.1,0.556341
0.9,2.2,0.553342
0.9,2.3,0.57184
0.9,2.4,0.568482
0.9,2.5,0.564174
0.9,2.6,0.567142
0.9,2.7,0.603745
0.9,2.8,0.600268
0.9,2.9,0.608734
0.9,3.,0.616987
1.,0.,1.
1.,0.1,0.662358
1.,0.2,0.61806
1.,0.3,0.596849
1.,0.4,0.581332
1.,0.5,0.569812
1.,0.6,0.572427
1.,0.7,0.56367
1.,0.8,0.557706
1.,0.9,0.54749
1.,1.,0.543355
1.,1.1,0.537793
1.,1.2,0.547419
1.,1.3,0.549015
1.,1.4,0.546481
1.,1.5,0.549737
1.,1.6,0.546864
1.,1.7,0.549149
1.,1.8,0.543752
1.,1.9,0.54579
1.,2.,0.544185
1.,2.1,0.560012
1.,2.2,0.557607
1.,2.3,0.566862
1.,2.4,0.565186
1.,2.5,0.5835
1.,2.6,0.582741
1.,2.7,0.584173
1.,2.8,0.597542
1.,2.9,0.594103
1.,3.,0.633392
1.1,0.,1.
1.1,0.1,0.672691
1.1,0.2,0.620981
1.1,0.3,0.600948
1.1,0.4,0.582705
1.1,0.5,0.579252
1.1,0.6,0.580392
1.1,0.7,0.573333
1.1,0.8,0.564825
1.1,0.9,0.555753
1.1,1.,0.547522
1.1,1.1,0.555088
1.1,1.2,0.534834
1.1,1.3,0.552654
1.1,1.4,0.556608
1.1,1.5,0.551774
1.1,1.6,0.546458
1.1,1.7,0.55183
1.1,1.8,0.546999
1.1,1.9,0.54303
1.1,2.,0.547936
1.1,2.1,0.560035
1.1,2.2,0.562219
1.1,2.3,0.559039
1.1,2.4,0.575384
1.1,2.5,0.575629
1.1,2.6,0.580816
1.1,2.7,0.595406
1.1,2.8,0.589062
1.1,2.9,0.599275
1.1,3.,0.612075
1.2,0.,1.
1.2,0.1,0.710004
1.2,0.2,0.666691
1.2,0.3,0.62858
1.2,0.4,0.602253
1.2,0.5,0.583348
1.2,0.6,0.585173
1.2,0.7,0.578515
1.2,0.8,0.556847
1.2,0.9,0.563973
1.2,1.,0.563296
1.2,1.1,0.544163
1.2,1.2,0.553666
1.2,1.3,0.549102
1.2,1.4,0.556578
1.2,1.5,0.556352
1.2,1.6,0.559237
1.2,1.7,0.559513
1.2,1.8,0.553221
1.2,1.9,0.559389
1.2,2.,0.557534
1.2,2.1,0.561985
1.2,2.2,0.567292
1.2,2.3,0.56733
1.2,2.4,0.568486
1.2,2.5,0.573626
1.2,2.6,0.576909
1.2,2.7,0.572848
1.2,2.8,0.595004
1.2,2.9,0.612478
1.2,3.,0.604328
1.3,0.,1.
1.3,0.1,0.737084
1.3,0.2,0.666967
1.3,0.3,0.63747
1.3,0.4,0.625607
1.3,0.5,0.605609
1.3,0.6,0.603895
1.3,0.7,0.581733
1.3,0.8,0.583756
1.3,0.9,0.585895
1.3,1.,0.560983
1.3,1.1,0.569004
1.3,1.2,0.553164
1.3,1.3,0.55442
1.3,1.4,0.559935
1.3,1.5,0.558485
1.3,1.6,0.565065
1.3,1.7,0.558162
1.3,1.8,0.561745
1.3,1.9,0.569976
1.3,2.,0.573914
1.3,2.1,0.571195
1.3,2.2,0.587765
1.3,2.3,0.557004
1.3,2.4,0.579355
1.3,2.5,0.565784
1.3,2.6,0.578945
1.3,2.7,0.574832
1.3,2.8,0.584444
1.3,2.9,0.584316
1.3,3.,0.58679
1.4,0.,1.
1.4,0.1,0.728468
1.4,0.2,0.67286
1.4,0.3,0.66791
1.4,0.4,0.649439
1.4,0.5,0.642254
1.4,0.6,0.603034
1.4,0.7,0.614686
1.4,0.8,0.580082
1.4,0.9,0.590147
1.4,1.,0.565784
1.4,1.1,0.573113
1.4,1.2,0.56756
1.4,1.3,0.559345
1.4,1.4,0.575193
1.4,1.5,0.564852
1.4,1.6,0.566737
1.4,1.7,0.5695
1.4,1.8,0.565362
1.4,1.9,0.576695
1.4,2.,0.568363
1.4,2.1,0.577287
1.4,2.2,0.584008
1.4,2.3,0.580165
1.4,2.4,0.570581
1.4,2.5,0.58899
1.4,2.6,0.58009
1.4,2.7,0.561903
1.4,2.8,0.570443
1.4,2.9,0.590279
1.4,3.,0.579466
1.5,0.,1.
1.5,0.1,0.748348
1.5,0.2,0.708378
1.5,0.3,0.670149
1.5,0.4,0.670528
1.5,0.5,0.669988
1.5,0.6,0.632621
1.5,0.7,0.624025
1.5,0.8,0.587994
1.5,0.9,0.591974
1.5,1.,0.581929
1.5,1.1,0.576317
1.5,1.2,0.582924
1.5,1.3,0.588758
1.5,1.4,0.573353
1.5,1.5,0.568348
1.5,1.6,0.585392
1.5,1.7,0.576088
1.5,1.8,0.581219
1.5,1.9,0.573267
1.5,2.,0.571585
1.5,2.1,0.593495
1.5,2.2,0.581471
1.5,2.3,0.577529
1.5,2.4,0.599723
1.5,2.5,0.596321
1.5,2.6,0.595801
1.5,2.7,0.59294
1.5,2.8,0.597726
1.5,2.9,0.589046
1.5,3.,0.583299
1.6,0.,1.
1.6,0.1,0.755802
1.6,0.2,0.719916
1.6,0.3,0.701451
1.6,0.4,0.69333
1.6,0.5,0.647959
1.6,0.6,0.670112
1.6,0.7,0.640444
1.6,0.8,0.625211
1.6,0.9,0.605305
1.6,1.,0.587667
1.6,1.1,0.593359
1.6,1.2,0.592639
1.6,1.3,0.579556
1.6,1.4,0.593884
1.6,1.5,0.567515
1.6,1.6,0.583705
1.6,1.7,0.579216
1.6,1.8,0.5648
1.6,1.9,0.578504
1.6,2.,0.582922
1.6,2.1,0.591552
1.6,2.2,0.588275
1.6,2.3,0.578876
1.6,2.4,0.589298
1.6,2.5,0.604603
1.6,2.6,0.600988
1.6,2.7,0.607339
1.6,2.8,0.594704
1.6,2.9,0.607253
1.6,3.,0.605398
1.7,0.,1.
1.7,0.1,0.786972
1.7,0.2,0.742252
1.7,0.3,0.721181
1.7,0.4,0.716296
1.7,0.5,0.705369
1.7,0.6,0.693904
1.7,0.7,0.636692
1.7,0.8,0.628721
1.7,0.9,0.640762
1.7,1.,0.602729
1.7,1.1,0.613787
1.7,1.2,0.592704
1.7,1.3,0.585858
1.7,1.4,0.596458
1.7,1.5,0.587169
1.7,1.6,0.592627
1.7,1.7,0.582759
1.7,1.8,0.590383
1.7,1.9,0.575276
1.7,2.,0.584541
1.7,2.1,0.587787
1.7,2.2,0.595201
1.7,2.3,0.587317
1.7,2.4,0.602366
1.7,2.5,0.58799
1.7,2.6,0.611237
1.7,2.7,0.623314
1.7,2.8,0.609042
1.7,2.9,0.629216
1.7,3.,0.600121
1.8,0.,1.
1.8,0.1,0.787141
1.8,0.2,0.744045
1.8,0.3,0.704611
1.8,0.4,0.715393
1.8,0.5,0.699616
1.8,0.6,0.667002
1.8,0.7,0.643078
1.8,0.8,0.610612
1.8,0.9,0.639777
1.8,1.,0.627289
1.8,1.1,0.604971
1.8,1.2,0.590161
1.8,1.3,0.599281
1.8,1.4,0.590382
1.8,1.5,0.577524
1.8,1.6,0.58487
1.8,1.7,0.600506
1.8,1.8,0.58044
1.8,1.9,0.589098
1.8,2.,0.572348
1.8,2.1,0.590741
1.8,2.2,0.608914
1.8,2.3,0.610989
1.8,2.4,0.590592
1.8,2.5,0.607418
1.8,2.6,0.607527
1.8,2.7,0.622564
1.8,2.8,0.628498
1.8,2.9,0.64622
1.8,3.,0.658294
1.9,0.,1.
1.9,0.1,0.807231
1.9,0.2,0.728436
1.9,0.3,0.741475
1.9,0.4,0.690098
1.9,0.5,0.688184
1.9,0.6,0.705622
1.9,0.7,0.703885
1.9,0.8,0.649922
1.9,0.9,0.661686
1.9,1.,0.646172
1.9,1.1,0.624931
1.9,1.2,0.62554
1.9,1.3,0.609599
1.9,1.4,0.593602
1.9,1.5,0.59478
1.9,1.6,0.600022
1.9,1.7,0.596065
1.9,1.8,0.596118
1.9,1.9,0.574494
1.9,2.,0.585199
1.9,2.1,0.611108
1.9,2.2,0.595401
1.9,2.3,0.585476
1.9,2.4,0.607812
1.9,2.5,0.607965
1.9,2.6,0.61146
1.9,2.7,0.605687
1.9,2.8,0.622101
1.9,2.9,0.639763
1.9,3.,0.653802
2.,0.,1.
2.,0.1,0.787721
2.,0.2,0.757242
2.,0.3,0.750673
2.,0.4,0.729269
2.,0.5,0.71615
2.,0.6,0.685618
2.,0.7,0.695452
2.,0.8,0.689617
2.,0.9,0.659288
2.,1.,0.654574
2.,1.1,0.618067
2.,1.2,0.630821
2.,1.3,0.614356
2.,1.4,0.598544
2.,1.5,0.608551
2.,1.6,0.602306
2.,1.7,0.578938
2.,1.8,0.580572
2.,1.9,0.596331
2.,2.,0.585934
2.,2.1,0.590222
2.,2.2,0.606846
2.,2.3,0.586144
2.,2.4,0.599901
2.,2.5,0.600892
2.,2.6,0.607153
2.,2.7,0.612402
2.,2.8,0.643296
2.,2.9,0.63123
2.,3.,0.648139
2.1,0.,1.
2.1,0.1,0.792472
2.1,0.2,0.756842
2.1,0.3,0.745079
2.1,0.4,0.730256
2.1,0.5,0.716678
2.1,0.6,0.718867
2.1,0.7,0.701131
2.1,0.8,0.694377
2.1,0.9,0.706804
2.1,1.,0.664402
2.1,1.1,0.627099
2.1,1.2,0.642671
2.1,1.3,0.623615
2.1,1.4,0.60329
2.1,1.5,0.624929
2.1,1.6,0.615301
2.1,1.7,0.60683
2.1,1.8,0.617172
2.1,1.9,0.599561
2.1,2.,0.592622
2.1,2.1,0.6032
2.1,2.2,0.60933
2.1,2.3,0.60212
2.1,2.4,0.614821
2.1,2.5,0.599391
2.1,2.6,0.617229
2.1,2.7,0.62783
2.1,2.8,0.628579
2.1,2.9,0.634169
2.1,3.,0.649891
2.2,0.,1.
2.2,0.1,0.823186
2.2,0.2,0.751309
2.2,0.3,0.72858
2.2,0.4,0.748942
2.2,0.5,0.709609
2.2,0.6,0.706655
2.2,0.7,0.696576
2.2,0.8,0.655012
2.2,0.9,0.684973
2.2,1.,0.670656
2.2,1.1,0.678871
2.2,1.2,0.637266
2.2,1.3,0.643479
2.2,1.4,0.621879
2.2,1.5,0.649876
2.2,1.6,0.613376
2.2,1.7,0.613021
2.2,1.8,0.608181
2.2,1.9,0.607049
2.2,2.,0.602135
2.2,2.1,0.607239
2.2,2.2,0.61134
2.2,2.3,0.624572
2.2,2.4,0.605219
2.2,2.5,0.59091
2.2,2.6,0.60337
2.2,2.7,0.623812
2.2,2.8,0.604541
2.2,2.9,0.636435
2.2,3.,0.647498
2.3,0.,1.
2.3,0.1,0.806117
2.3,0.2,0.749292
2.3,0.3,0.76011
2.3,0.4,0.749075
2.3,0.5,0.704921
2.3,0.6,0.72893
2.3,0.7,0.713173
2.3,0.8,0.681846
2.3,0.9,0.682668
2.3,1.,0.690771
2.3,1.1,0.69799
2.3,1.2,0.654051
2.3,1.3,0.683873
2.3,1.4,0.647592
2.3,1.5,0.655394
2.3,1.6,0.617347
2.3,1.7,0.622414
2.3,1.8,0.611878
2.3,1.9,0.603506
2.3,2.,0.608984
2.3,2.1,0.590051
2.3,2.2,0.622953
2.3,2.3,0.623094
2.3,2.4,0.609445
2.3,2.5,0.622208
2.3,2.6,0.620055
2.3,2.7,0.616812
2.3,2.8,0.629474
2.3,2.9,0.635334
2.3,3.,0.647106
2.4,0.,1.
2.4,0.1,0.827912
2.4,0.2,0.749833
2.4,0.3,0.740872
2.4,0.4,0.734113
2.4,0.5,0.73401
2.4,0.6,0.708703
2.4,0.7,0.720761
2.4,0.8,0.729606
2.4,0.9,0.719463
2.4,1.,0.658278
2.4,1.1,0.689157
2.4,1.2,0.6674
2.4,1.3,0.647812
2.4,1.4,0.653219
2.4,1.5,0.637647
2.4,1.6,0.636816
2.4,1.7,0.60917
2.4,1.8,0.628829
2.4,1.9,0.617135
2.4,2.,0.603602
2.4,2.1,0.60204
2.4,2.2,0.604944
2.4,2.3,0.621234
2.4,2.4,0.603371
2.4,2.5,0.599859
2.4,2.6,0.604995
2.4,2.7,0.616643
2.4,2.8,0.608083
2.4,2.9,0.63863
2.4,3.,0.620332
2.5,0.,1.
2.5,0.1,0.83152
2.5,0.2,0.798351
2.5,0.3,0.748903
2.5,0.4,0.736818
2.5,0.5,0.716234
2.5,0.6,0.742665
2.5,0.7,0.731758
2.5,0.8,0.699218
2.5,0.9,0.674491
2.5,1.,0.680432
2.5,1.1,0.682514
2.5,1.2,0.674282
2.5,1.3,0.649979
2.5,1.4,0.641724
2.5,1.5,0.687858
2.5,1.6,0.655496
2.5,1.7,0.641376
2.5,1.8,0.619316
2.5,1.9,0.649294
2.5,2.,0.613218
2.5,2.1,0.617283
2.5,2.2,0.631111
2.5,2.3,0.609588
2.5,2.4,0.605814
2.5,2.5,0.608107
2.5,2.6,0.618785
2.5,2.7,0.61391
2.5,2.8,0.612825
2.5,2.9,0.607376
2.5,3.,0.631294
2.6,0.,1.
2.6,0.1,0.843129
2.6,0.2,0.765576
2.6,0.3,0.750771
2.6,0.4,0.729029
2.6,0.5,0.724932
2.6,0.6,0.727821
2.6,0.7,0.705599
2.6,0.8,0.739948
2.6,0.9,0.680813
2.6,1.,0.695842
2.6,1.1,0.715708
2.6,1.2,0.677822
2.6,1.3,0.679896
2.6,1.4,0.679453
2.6,1.5,0.675916
2.6,1.6,0.632441
2.6,1.7,0.649215
2.6,1.8,0.628867
2.6,1.9,0.644114
2.6,2.,0.628005
2.6,2.1,0.606774
2.6,2.2,0.615255
2.6,2.3,0.627293
2.6,2.4,0.593053
2.6,2.5,0.623033
2.6,2.6,0.646193
2.6,2.7,0.622121
2.6,2.8,0.629259
2.6,2.9,0.640414
2.6,3.,0.608115
2.7,0.,1.
2.7,0.1,0.850887
2.7,0.2,0.772718
2.7,0.3,0.770555
2.7,0.4,0.744116
2.7,0.5,0.718106
2.7,0.6,0.731887
2.7,0.7,0.719633
2.7,0.8,0.721201
2.7,0.9,0.706451
2.7,1.,0.696278
2.7,1.1,0.728183
2.7,1.2,0.68009
2.7,1.3,0.68308
2.7,1.4,0.660455
2.7,1.5,0.654878
2.7,1.6,0.656747
2.7,1.7,0.666694
2.7,1.8,0.63697
2.7,1.9,0.655243
2.7,2.,0.648736
2.7,2.1,0.654581
2.7,2.2,0.635559
2.7,2.3,0.63308
2.7,2.4,0.626409
2.7,2.5,0.616941
2.7,2.6,0.629814
2.7,2.7,0.621504
2.7,2.8,0.645595
2.7,2.9,0.625545
2.7,3.,0.615864
2.8,0.,1.
2.8,0.1,0.82345
2.8,0.2,0.799102
2.8,0.3,0.776671
2.8,0.4,0.778566
2.8,0.5,0.74584
2.8,0.6,0.742636
2.8,0.7,0.754172
2.8,0.8,0.7163
2.8,0.9,0.69825
2.8,1.,0.692641
2.8,1.1,0.694241
2.8,1.2,0.665056
2.8,1.3,0.680107
2.8,1.4,0.678761
2.8,1.5,0.681755
2.8,1.6,0.661476
2.8,1.7,0.653019
2.8,1.8,0.689006
2.8,1.9,0.635668
2.8,2.,0.657391
2.8,2.1,0.656715
2.8,2.2,0.650418
2.8,2.3,0.637974
2.8,2.4,0.630037
2.8,2.5,0.611445
2.8,2.6,0.625059
2.8,2.7,0.617648
2.8,2.8,0.616744
2.8,2.9,0.630443
2.8,3.,0.618013
2.9,0.,1.
2.9,0.1,0.84438
2.9,0.2,0.798562
2.9,0.3,0.776153
2.9,0.4,0.750462
2.9,0.5,0.72555
2.9,0.6,0.7318
2.9,0.7,0.739037
2.9,0.8,0.749838
2.9,0.9,0.707502
2.9,1.,0.691046
2.9,1.1,0.711172
2.9,1.2,0.667351
2.9,1.3,0.677709
2.9,1.4,0.703959
2.9,1.5,0.666957
2.9,1.6,0.664006
2.9,1.7,0.659347
2.9,1.8,0.635472
2.9,1.9,0.643263
2.9,2.,0.660007
2.9,2.1,0.641608
2.9,2.2,0.642725
2.9,2.3,0.66416
2.9,2.4,0.626879
2.9,2.5,0.611087
2.9,2.6,0.615845
2.9,2.7,0.630766
2.9,2.8,0.62359
2.9,2.9,0.630601
2.9,3.,0.632973
3.,0.,1.
3.,0.1,0.859539
3.,0.2,0.801958
3.,0.3,0.784493
3.,0.4,0.757436
3.,0.5,0.733801
3.,0.6,0.748281
3.,0.7,0.740271
3.,0.8,0.732942
3.,0.9,0.73657
3.,1.,0.699517
3.,1.1,0.726015
3.,1.2,0.682284
3.,1.3,0.679913
3.,1.4,0.685508
3.,1.5,0.679025
3.,1.6,0.647988
3.,1.7,0.656621
3.,1.8,0.676019
3.,1.9,0.679479
3.,2.,0.659808
3.,2.1,0.689013
3.,2.2,0.680176
3.,2.3,0.653994
3.,2.4,0.642522
3.,2.5,0.644843
3.,2.6,0.617773
3.,2.7,0.633027
3.,2.8,0.606882
3.,2.9,0.631843
3.,3.,0.633778
