hz,J,promedio temporal de 0 a 100 de la pureza del caometro
0.3,1.2,0.569476
0.3,1.3,0.574688
0.3,1.4,0.570231
0.3,1.5,0.574776
0.3,1.6,0.576481
0.3,1.7,0.591387
0.3,1.8,0.597192
0.3,1.9,0.602395
0.3,2.,0.606643
0.3,2.1,0.61426
0.3,2.2,0.618674
0.3,2.3,0.615035
0.3,2.4,0.637755
0.3,2.5,0.624313
0.3,2.6,0.633456
0.3,2.7,0.639085
0.3,2.8,0.635837
0.3,2.9,0.651447
0.3,3.,0.661087
0.4,0.,1.
0.4,0.1,0.658982
0.4,0.2,0.631115
0.4,0.3,0.617575
0.4,0.4,0.611421
0.4,0.5,0.594137
0.4,0.6,0.588518
0.4,0.7,0.581206
0.4,0.8,0.572689
0.4,0.9,0.575245
0.4,1.,0.575371
0.4,1.1,0.575014
0.4,1.2,0.578945
0.4,1.3,0.575754
0.4,1.4,0.570727
0.4,1.5,0.576753
0.4,1.6,0.579753
0.4,1.7,0.589529
0.4,1.8,0.594843
0.4,1.9,0.593705
0.4,2.,0.596487
0.4,2.1,0.609717
0.4,2.2,0.608494
0.4,2.3,0.624465
0.4,2.4,0.626854
0.4,2.5,0.634029
0.4,2.6,0.645982
0.4,2.7,0.625666
0.4,2.8,0.637699
0.4,2.9,0.645091
0.4,3.,0.653415
0.5,0.,1.
0.5,0.1,0.649454
0.5,0.2,0.618553
0.5,0.3,0.599796
0.5,0.4,0.606315
0.5,0.5,0.586555
0.5,0.6,0.590662
0.5,0.7,0.578283
0.5,0.8,0.576209
0.5,0.9,0.574023
0.5,1.,0.571528
0.5,1.1,0.583654
0.5,1.2,0.568561
0.5,1.3,0.571623
0.5,1.4,0.57057
0.5,1.5,0.581062
0.5,1.6,0.583264
0.5,1.7,0.574594
0.5,1.8,0.589729
0.5,1.9,0.599449
0.5,2.,0.605783
0.5,2.1,0.60089
0.5,2.2,0.615224
0.5,2.3,0.625433
0.5,2.4,0.625639
0.5,2.5,0.630864
0.5,2.6,0.643362
0.5,2.7,0.647182
0.5,2.8,0.630323
0.5,2.9,0.641871
0.5,3.,0.654078
0.6,0.,1.
0.6,0.1,0.671517
0.6,0.2,0.628803
0.6,0.3,0.614524
0.6,0.4,0.610957
0.6,0.5,0.601121
0.6,0.6,0.587225
0.6,0.7,0.580221
0.6,0.8,0.575134
0.6,0.9,0.577348
0.6,1.,0.568519
0.6,1.1,0.568542
0.6,1.2,0.569131
0.6,1.3,0.570341
0.6,1.4,0.579933
0.6,1.5,0.574598
0.6,1.6,0.573175
0.6,1.7,0.585096
0.6,1.8,0.578306
0.6,1.9,0.586244
0.6,2.,0.595662
0.6,2.1,0.59821
0.6,2.2,0.594518
0.6,2.3,0.613759
0.6,2.4,0.61764
0.6,2.5,0.628251
0.6,2.6,0.628893
0.6,2.7,0.625516
0.6,2.8,0.633228
0.6,2.9,0.621088
0.6,3.,0.651805
0.7,0.,1.
0.7,0.1,0.706635
0.7,0.2,0.617059
0.7,0.3,0.611742
0.7,0.4,0.60521
0.7,0.5,0.586295
0.7,0.6,0.583427
0.7,0.7,0.577062
0.7,0.8,0.583066
0.7,0.9,0.57437
0.7,1.,0.573602
0.7,1.1,0.581995
0.7,1.2,0.573668
0.7,1.3,0.572394
0.7,1.4,0.575632
0.7,1.5,0.575624
0.7,1.6,0.575804
0.7,1.7,0.583753
0.7,1.8,0.585179
0.7,1.9,0.591364
0.7,2.,0.586153
0.7,2.1,0.590271
0.7,2.2,0.603312
0.7,2.3,0.59625
0.7,2.4,0.599284
0.7,2.5,0.612012
0.7,2.6,0.613697
0.7,2.7,0.624938
0.7,2.8,0.625279
0.7,2.9,0.629886
0.7,3.,0.64946
0.8,0.,1.
0.8,0.1,0.671555
0.8,0.2,0.634318
0.8,0.3,0.611939
0.8,0.4,0.615036
0.8,0.5,0.59306
0.8,0.6,0.594698
0.8,0.7,0.583912
0.8,0.8,0.580531
0.8,0.9,0.574651
0.8,1.,0.578857
0.8,1.1,0.574338
0.8,1.2,0.573776
0.8,1.3,0.579768
0.8,1.4,0.580344
0.8,1.5,0.576847
0.8,1.6,0.57978
0.8,1.7,0.580952
0.8,1.8,0.578588
0.8,1.9,0.587788
0.8,2.,0.590116
0.8,2.1,0.601056
0.8,2.2,0.593445
0.8,2.3,0.602583
0.8,2.4,0.617356
0.8,2.5,0.612924
0.8,2.6,0.626989
0.8,2.7,0.606489
0.8,2.8,0.627123
0.8,2.9,0.629897
0.8,3.,0.631306
0.9,0.,1.
0.9,0.1,0.665385
0.9,0.2,0.621639
0.9,0.3,0.615634
0.9,0.4,0.60756
0.9,0.5,0.611072
0.9,0.6,0.591689
0.9,0.7,0.592761
0.9,0.8,0.577069
0.9,0.9,0.588659
0.9,1.,0.593328
0.9,1.1,0.568328
0.9,1.2,0.572337
0.9,1.3,0.582917
0.9,1.4,0.575343
0.9,1.5,0.586117
0.9,1.6,0.578833
0.9,1.7,0.585701
0.9,1.8,0.585452
0.9,1.9,0.585757
0.9,2.,0.586811
0.9,2.1,0.601437
0.9,2.2,0.593932
0.9,2.3,0.591065
0.9,2.4,0.613486
0.9,2.5,0.608607
0.9,2.6,0.618975
0.9,2.7,0.622419
0.9,2.8,0.612139
0.9,2.9,0.634055
0.9,3.,0.62741
1.,0.,1.
1.,0.1,0.668325
1.,0.2,0.626626
1.,0.3,0.613009
1.,0.4,0.607983
1.,0.5,0.598424
1.,0.6,0.602937
1.,0.7,0.593408
1.,0.8,0.606839
1.,0.9,0.601269
1.,1.,0.591532
1.,1.1,0.587307
1.,1.2,0.580742
1.,1.3,0.579655
1.,1.4,0.577559
1.,1.5,0.574778
1.,1.6,0.580126
1.,1.7,0.588161
1.,1.8,0.583672
1.,1.9,0.590747
1.,2.,0.595677
1.,2.1,0.591694
1.,2.2,0.595742
1.,2.3,0.592072
1.,2.4,0.592978
1.,2.5,0.603829
1.,2.6,0.605406
1.,2.7,0.620356
1.,2.8,0.623186
1.,2.9,0.62823
1.,3.,0.63055
1.1,0.,1.
1.1,0.1,0.671842
1.1,0.2,0.643699
1.1,0.3,0.621783
1.1,0.4,0.626932
1.1,0.5,0.611393
1.1,0.6,0.604783
1.1,0.7,0.600342
1.1,0.8,0.609727
1.1,0.9,0.589446
1.1,1.,0.579643
1.1,1.1,0.585506
1.1,1.2,0.593744
1.1,1.3,0.586873
1.1,1.4,0.585757
1.1,1.5,0.593779
1.1,1.6,0.588802
1.1,1.7,0.595499
1.1,1.8,0.588938
1.1,1.9,0.591795
1.1,2.,0.598807
1.1,2.1,0.596096
1.1,2.2,0.593231
1.1,2.3,0.599629
1.1,2.4,0.600772
1.1,2.5,0.60833
1.1,2.6,0.607746
1.1,2.7,0.605907
1.1,2.8,0.616026
1.1,2.9,0.637041
1.1,3.,0.617492
1.2,0.,1.
1.2,0.1,0.698339
1.2,0.2,0.646781
1.2,0.3,0.630693
1.2,0.4,0.621872
1.2,0.5,0.614342
1.2,0.6,0.614306
1.2,0.7,0.612188
1.2,0.8,0.631805
1.2,0.9,0.605168
1.2,1.,0.594684
1.2,1.1,0.610054
1.2,1.2,0.594274
1.2,1.3,0.601021
1.2,1.4,0.590256
1.2,1.5,0.58833
1.2,1.6,0.584651
1.2,1.7,0.587532
1.2,1.8,0.595471
1.2,1.9,0.588629
1.2,2.,0.598446
1.2,2.1,0.592728
1.2,2.2,0.591455
1.2,2.3,0.591339
1.2,2.4,0.602873
1.2,2.5,0.603546
1.2,2.6,0.598786
1.2,2.7,0.611233
1.2,2.8,0.604344
1.2,2.9,0.620998
1.2,3.,0.626993
1.3,0.,1.
1.3,0.1,0.737314
1.3,0.2,0.663723
1.3,0.3,0.64578
1.3,0.4,0.635272
1.3,0.5,0.627367
1.3,0.6,0.636517
1.3,0.7,0.634475
1.3,0.8,0.620089
1.3,0.9,0.607472
1.3,1.,0.608543
1.3,1.1,0.610735
1.3,1.2,0.603865
1.3,1.3,0.607837
1.3,1.4,0.595294
1.3,1.5,0.610855
1.3,1.6,0.596026
1.3,1.7,0.603047
1.3,1.8,0.59451
1.3,1.9,0.603689
1.3,2.,0.59078
1.3,2.1,0.601356
1.3,2.2,0.60956
1.3,2.3,0.597661
1.3,2.4,0.599111
1.3,2.5,0.611866
1.3,2.6,0.617393
1.3,2.7,0.604533
1.3,2.8,0.610439
1.3,2.9,0.60804
1.3,3.,0.620464
1.4,0.,1.
1.4,0.1,0.726542
1.4,0.2,0.68009
1.4,0.3,0.649166
1.4,0.4,0.637739
1.4,0.5,0.621514
1.4,0.6,0.648848
1.4,0.7,0.630256
1.4,0.8,0.617259
1.4,0.9,0.604789
1.4,1.,0.605521
1.4,1.1,0.608671
1.4,1.2,0.614851
1.4,1.3,0.605795
1.4,1.4,0.607788
1.4,1.5,0.614167
1.4,1.6,0.604737
1.4,1.7,0.592962
1.4,1.8,0.609294
1.4,1.9,0.596851
1.4,2.,0.603863
1.4,2.1,0.622969
1.4,2.2,0.609405
1.4,2.3,0.615722
1.4,2.4,0.605375
1.4,2.5,0.613402
1.4,2.6,0.607531
1.4,2.7,0.605913
1.4,2.8,0.600427
1.4,2.9,0.624494
1.4,3.,0.60583
1.5,0.,1.
1.5,0.1,0.768566
1.5,0.2,0.697824
1.5,0.3,0.682631
1.5,0.4,0.648829
1.5,0.5,0.656839
1.5,0.6,0.640282
1.5,0.7,0.637435
1.5,0.8,0.620408
1.5,0.9,0.611519
1.5,1.,0.613693
1.5,1.1,0.620774
1.5,1.2,0.612183
1.5,1.3,0.609201
1.5,1.4,0.602768
1.5,1.5,0.611018
1.5,1.6,0.606574
1.5,1.7,0.613025
1.5,1.8,0.603999
1.5,1.9,0.611413
1.5,2.,0.602578
1.5,2.1,0.59656
1.5,2.2,0.610111
1.5,2.3,0.613636
1.5,2.4,0.610735
1.5,2.5,0.624427
1.5,2.6,0.597277
1.5,2.7,0.618505
1.5,2.8,0.594375
1.5,2.9,0.614092
1.5,3.,0.61696
1.6,0.,1.
1.6,0.1,0.769777
1.6,0.2,0.740966
1.6,0.3,0.700311
1.6,0.4,0.665409
1.6,0.5,0.667977
1.6,0.6,0.649167
1.6,0.7,0.61618
1.6,0.8,0.649621
1.6,0.9,0.617404
1.6,1.,0.628572
1.6,1.1,0.60781
1.6,1.2,0.608816
1.6,1.3,0.612438
1.6,1.4,0.615786
1.6,1.5,0.613543
1.6,1.6,0.59822
1.6,1.7,0.61224
1.6,1.8,0.613104
1.6,1.9,0.622043
1.6,2.,0.599883
1.6,2.1,0.606588
1.6,2.2,0.587853
1.6,2.3,0.623163
1.6,2.4,0.602299
1.6,2.5,0.620305
1.6,2.6,0.620202
1.6,2.7,0.611863
1.6,2.8,0.623114
1.6,2.9,0.603258
1.6,3.,0.601626
1.7,0.,1.
1.7,0.1,0.776087
1.7,0.2,0.727366
1.7,0.3,0.71864
1.7,0.4,0.701105
1.7,0.5,0.661721
1.7,0.6,0.683637
1.7,0.7,0.64749
1.7,0.8,0.6538
1.7,0.9,0.649661
1.7,1.,0.640229
1.7,1.1,0.608423
1.7,1.2,0.620986
1.7,1.3,0.64189
1.7,1.4,0.624439
1.7,1.5,0.620685
1.7,1.6,0.593647
1.7,1.7,0.613927
1.7,1.8,0.604097
1.7,1.9,0.606205
1.7,2.,0.612021
1.7,2.1,0.609883
1.7,2.2,0.602195
1.7,2.3,0.614407
1.7,2.4,0.623958
1.7,2.5,0.620729
1.7,2.6,0.626
1.7,2.7,0.618712
1.7,2.8,0.616241
1.7,2.9,0.621844
1.7,3.,0.62823
1.8,0.,1.
1.8,0.1,0.780677
1.8,0.2,0.72762
1.8,0.3,0.740054
1.8,0.4,0.729044
1.8,0.5,0.69837
1.8,0.6,0.698361
1.8,0.7,0.652365
1.8,0.8,0.647161
1.8,0.9,0.65893
1.8,1.,0.645479
1.8,1.1,0.630671
1.8,1.2,0.632809
1.8,1.3,0.609822
1.8,1.4,0.611071
1.8,1.5,0.616806
1.8,1.6,0.616583
1.8,1.7,0.603874
1.8,1.8,0.611785
1.8,1.9,0.622073
1.8,2.,0.626825
1.8,2.1,0.616956
1.8,2.2,0.605846
1.8,2.3,0.623414
1.8,2.4,0.62569
1.8,2.5,0.613847
1.8,2.6,0.611823
1.8,2.7,0.635862
1.8,2.8,0.616568
1.8,2.9,0.627798
1.8,3.,0.62487
1.9,0.,1.
1.9,0.1,0.814926
1.9,0.2,0.743507
1.9,0.3,0.748761
1.9,0.4,0.724931
1.9,0.5,0.709497
1.9,0.6,0.699303
1.9,0.7,0.682827
1.9,0.8,0.662774
1.9,0.9,0.642751
1.9,1.,0.681502
1.9,1.1,0.650723
1.9,1.2,0.630274
1.9,1.3,0.629106
1.9,1.4,0.612449
1.9,1.5,0.620975
1.9,1.6,0.623201
1.9,1.7,0.619747
1.9,1.8,0.618577
1.9,1.9,0.628362
1.9,2.,0.63413
1.9,2.1,0.617802
1.9,2.2,0.620894
1.9,2.3,0.61298
1.9,2.4,0.619105
1.9,2.5,0.61989
1.9,2.6,0.634202
1.9,2.7,0.641801
1.9,2.8,0.626593
1.9,2.9,0.643737
1.9,3.,0.629757
2.,0.,1.
2.,0.1,0.789702
2.,0.2,0.765354
2.,0.3,0.739637
2.,0.4,0.74846
2.,0.5,0.731682
2.,0.6,0.695346
2.,0.7,0.694088
2.,0.8,0.687678
2.,0.9,0.658737
2.,1.,0.663995
2.,1.1,0.673862
2.,1.2,0.647362
2.,1.3,0.618803
2.,1.4,0.62345
2.,1.5,0.633518
2.,1.6,0.644705
2.,1.7,0.622571
2.,1.8,0.624741
2.,1.9,0.613039
2.,2.,0.621509
2.,2.1,0.623542
2.,2.2,0.627284
2.,2.3,0.625021
2.,2.4,0.625502
2.,2.5,0.624163
2.,2.6,0.62313
2.,2.7,0.648694
2.,2.8,0.641688
2.,2.9,0.645585
2.,3.,0.640033
2.1,0.,1.
2.1,0.1,0.820064
2.1,0.2,0.749063
2.1,0.3,0.737163
2.1,0.4,0.737318
2.1,0.5,0.753124
2.1,0.6,0.730126
2.1,0.7,0.716388
2.1,0.8,0.682132
2.1,0.9,0.676062
2.1,1.,0.66252
2.1,1.1,0.653282
2.1,1.2,0.650061
2.1,1.3,0.637739
2.1,1.4,0.632828
2.1,1.5,0.650528
2.1,1.6,0.630318
2.1,1.7,0.62748
2.1,1.8,0.627131
2.1,1.9,0.621487
2.1,2.,0.609966
2.1,2.1,0.635311
2.1,2.2,0.639508
2.1,2.3,0.630433
2.1,2.4,0.62302
2.1,2.5,0.617982
2.1,2.6,0.634998
2.1,2.7,0.636755
2.1,2.8,0.647487
2.1,2.9,0.642096
2.1,3.,0.646824
2.2,0.,1.
2.2,0.1,0.804749
2.2,0.2,0.753633
2.2,0.3,0.762216
2.2,0.4,0.73611
2.2,0.5,0.736464
2.2,0.6,0.748177
2.2,0.7,0.69921
2.2,0.8,0.681053
2.2,0.9,0.689307
2.2,1.,0.654664
2.2,1.1,0.686183
2.2,1.2,0.639145
2.2,1.3,0.639467
2.2,1.4,0.657771
2.2,1.5,0.648318
2.2,1.6,0.626546
2.2,1.7,0.645315
2.2,1.8,0.644968
2.2,1.9,0.626005
2.2,2.,0.627311
2.2,2.1,0.629283
2.2,2.2,0.621313
2.2,2.3,0.632821
2.2,2.4,0.636301
2.2,2.5,0.620751
2.2,2.6,0.626421
2.2,2.7,0.641923
2.2,2.8,0.644757
2.2,2.9,0.654018
2.2,3.,0.634296
2.3,0.,1.
2.3,0.1,0.812427
2.3,0.2,0.796482
2.3,0.3,0.748226
2.3,0.4,0.732698
2.3,0.5,0.76342
2.3,0.6,0.757983
2.3,0.7,0.715965
2.3,0.8,0.707357
2.3,0.9,0.714368
2.3,1.,0.690522
2.3,1.1,0.677011
2.3,1.2,0.664157
2.3,1.3,0.656044
2.3,1.4,0.640067
2.3,1.5,0.651055
2.3,1.6,0.649244
2.3,1.7,0.641392
2.3,1.8,0.633006
2.3,1.9,0.625288
2.3,2.,0.642928
2.3,2.1,0.635149
2.3,2.2,0.626614
2.3,2.3,0.632087
2.3,2.4,0.628415
2.3,2.5,0.632325
2.3,2.6,0.638329
2.3,2.7,0.621107
2.3,2.8,0.642858
2.3,2.9,0.654497
2.3,3.,0.629216
2.4,0.,1.
2.4,0.1,0.824814
2.4,0.2,0.794547
2.4,0.3,0.786979
2.4,0.4,0.74237
2.4,0.5,0.7269
2.4,0.6,0.731743
2.4,0.7,0.750755
2.4,0.8,0.730606
2.4,0.9,0.718347
2.4,1.,0.702325
2.4,1.1,0.692822
2.4,1.2,0.713808
2.4,1.3,0.686691
2.4,1.4,0.672996
2.4,1.5,0.638084
2.4,1.6,0.630984
2.4,1.7,0.651772
2.4,1.8,0.665268
2.4,1.9,0.638524
2.4,2.,0.636701
2.4,2.1,0.647434
2.4,2.2,0.639778
2.4,2.3,0.621077
2.4,2.4,0.628074
2.4,2.5,0.623858
2.4,2.6,0.637102
2.4,2.7,0.627349
2.4,2.8,0.635158
2.4,2.9,0.631621
2.4,3.,0.641914
2.5,0.,1.
2.5,0.1,0.840987
2.5,0.2,0.798062
2.5,0.3,0.767692
2.5,0.4,0.747395
2.5,0.5,0.733505
2.5,0.6,0.741431
2.5,0.7,0.723263
2.5,0.8,0.737704
2.5,0.9,0.738165
2.5,1.,0.722904
2.5,1.1,0.713454
2.5,1.2,0.688922
2.5,1.3,0.698837
2.5,1.4,0.665104
2.5,1.5,0.661025
2.5,1.6,0.664184
2.5,1.7,0.654602
2.5,1.8,0.644697
2.5,1.9,0.654075
2.5,2.,0.63606
2.5,2.1,0.646488
2.5,2.2,0.638801
2.5,2.3,0.627175
2.5,2.4,0.635515
2.5,2.5,0.637045
2.5,2.6,0.627293
2.5,2.7,0.636168
2.5,2.8,0.619747
2.5,2.9,0.642091
2.5,3.,0.648042
2.6,0.,1.
2.6,0.1,0.826872
2.6,0.2,0.7921
2.6,0.3,0.76535
2.6,0.4,0.754835
2.6,0.5,0.75932
2.6,0.6,0.746554
2.6,0.7,0.713288
2.6,0.8,0.735545
2.6,0.9,0.735645
2.6,1.,0.688783
2.6,1.1,0.687248
2.6,1.2,0.709877
2.6,1.3,0.682492
2.6,1.4,0.680475
2.6,1.5,0.655147
2.6,1.6,0.678057
2.6,1.7,0.638897
2.6,1.8,0.656726
2.6,1.9,0.6287
2.6,2.,0.678382
2.6,2.1,0.642028
2.6,2.2,0.635778
2.6,2.3,0.6508
2.6,2.4,0.63616
2.6,2.5,0.646858
2.6,2.6,0.642193
2.6,2.7,0.644891
2.6,2.8,0.647049
2.6,2.9,0.642291
2.6,3.,0.634389
2.7,0.,1.
2.7,0.1,0.860319
2.7,0.2,0.790937
2.7,0.3,0.75504
2.7,0.4,0.779235
2.7,0.5,0.769008
2.7,0.6,0.772493
2.7,0.7,0.733545
2.7,0.8,0.697721
2.7,0.9,0.723246
2.7,1.,0.692214
2.7,1.1,0.722349
2.7,1.2,0.678514
2.7,1.3,0.707963
2.7,1.4,0.687538
2.7,1.5,0.68375
2.7,1.6,0.697935
2.7,1.7,0.653625
2.7,1.8,0.677313
2.7,1.9,0.673634
2.7,2.,0.66322
2.7,2.1,0.653632
2.7,2.2,0.655724
2.7,2.3,0.639169
2.7,2.4,0.641899
2.7,2.5,0.619582
2.7,2.6,0.64832
2.7,2.7,0.640778
2.7,2.8,0.640363
2.7,2.9,0.631822
2.7,3.,0.646482
2.8,0.,1.
2.8,0.1,0.843585
2.8,0.2,0.786608
2.8,0.3,0.762492
2.8,0.4,0.780928
2.8,0.5,0.75939
2.8,0.6,0.78666
2.8,0.7,0.763039
2.8,0.8,0.76479
2.8,0.9,0.702137
2.8,1.,0.741627
2.8,1.1,0.730781
2.8,1.2,0.686905
2.8,1.3,0.689128
2.8,1.4,0.698734
2.8,1.5,0.67584
2.8,1.6,0.686251
2.8,1.7,0.670385
2.8,1.8,0.662284
2.8,1.9,0.675434
2.8,2.,0.655181
2.8,2.1,0.687863
2.8,2.2,0.653473
2.8,2.3,0.665558
2.8,2.4,0.636611
2.8,2.5,0.641287
2.8,2.6,0.640662
2.8,2.7,0.640291
2.8,2.8,0.6327
2.8,2.9,0.63704
2.8,3.,0.656209
2.9,0.,1.
2.9,0.1,0.865905
2.9,0.2,0.78588
2.9,0.3,0.779618
2.9,0.4,0.780227
2.9,0.5,0.759409
2.9,0.6,0.772179
2.9,0.7,0.75949
2.9,0.8,0.727509
2.9,0.9,0.786234
2.9,1.,0.71425
2.9,1.1,0.716031
2.9,1.2,0.725164
2.9,1.3,0.744709
2.9,1.4,0.719862
2.9,1.5,0.699087
2.9,1.6,0.691268
2.9,1.7,0.660886
2.9,1.8,0.645893
2.9,1.9,0.662812
2.9,2.,0.677991
2.9,2.1,0.666677
2.9,2.2,0.667338
2.9,2.3,0.656052
2.9,2.4,0.642866
2.9,2.5,0.64611
2.9,2.6,0.645376
2.9,2.7,0.624445
2.9,2.8,0.636496
2.9,2.9,0.628749
2.9,3.,0.640188
3.,0.,1.
3.,0.1,0.860935
3.,0.2,0.816306
3.,0.3,0.768817
3.,0.4,0.771329
3.,0.5,0.769524
3.,0.6,0.763462
3.,0.7,0.733947
3.,0.8,0.739343
3.,0.9,0.720471
3.,1.,0.737465
3.,1.1,0.735912
3.,1.2,0.727826
3.,1.3,0.712999
3.,1.4,0.755349
3.,1.5,0.712937
3.,1.6,0.695089
3.,1.7,0.690489
3.,1.8,0.682207
3.,1.9,0.659962
3.,2.,0.662306
3.,2.1,0.685076
3.,2.2,0.662443
3.,2.3,0.676079
3.,2.4,0.649042
3.,2.5,0.657308
3.,2.6,0.635268
3.,2.7,0.641616
3.,2.8,0.637917
3.,2.9,0.646452
3.,3.,0.633371
