hz,J,promedio temporal de 0 a 100 de la pureza del caometro
1.4,2.2,0.636011
1.4,2.3,0.6436
1.4,2.4,0.648474
1.4,2.5,0.655089
1.4,2.6,0.655262
1.4,2.7,0.648178
1.4,2.8,0.657062
1.4,2.9,0.661264
1.4,3.,0.644501
1.5,0.,1.
1.5,0.1,0.740388
1.5,0.2,0.696651
1.5,0.3,0.686655
1.5,0.4,0.673869
1.5,0.5,0.67076
1.5,0.6,0.687378
1.5,0.7,0.674662
1.5,0.8,0.649298
1.5,0.9,0.673652
1.5,1.,0.680782
1.5,1.1,0.657824
1.5,1.2,0.638479
1.5,1.3,0.643421
1.5,1.4,0.648908
1.5,1.5,0.639488
1.5,1.6,0.633282
1.5,1.7,0.628665
1.5,1.8,0.632046
1.5,1.9,0.637341
1.5,2.,0.635003
1.5,2.1,0.649094
1.5,2.2,0.644581
1.5,2.3,0.650152
1.5,2.4,0.656203
1.5,2.5,0.652598
1.5,2.6,0.643922
1.5,2.7,0.652132
1.5,2.8,0.661722
1.5,2.9,0.684275
1.5,3.,0.666395
1.6,0.,1.
1.6,0.1,0.738741
1.6,0.2,0.720587
1.6,0.3,0.712398
1.6,0.4,0.714715
1.6,0.5,0.690232
1.6,0.6,0.669981
1.6,0.7,0.663363
1.6,0.8,0.674519
1.6,0.9,0.662436
1.6,1.,0.67113
1.6,1.1,0.666075
1.6,1.2,0.64739
1.6,1.3,0.639156
1.6,1.4,0.644485
1.6,1.5,0.648247
1.6,1.6,0.644848
1.6,1.7,0.645386
1.6,1.8,0.647826
1.6,1.9,0.64007
1.6,2.,0.631504
1.6,2.1,0.641648
1.6,2.2,0.651879
1.6,2.3,0.647284
1.6,2.4,0.639179
1.6,2.5,0.656774
1.6,2.6,0.638695
1.6,2.7,0.662503
1.6,2.8,0.677879
1.6,2.9,0.648081
1.6,3.,0.657369
1.7,0.,1.
1.7,0.1,0.743875
1.7,0.2,0.718956
1.7,0.3,0.706253
1.7,0.4,0.706423
1.7,0.5,0.695191
1.7,0.6,0.691996
1.7,0.7,0.692308
1.7,0.8,0.675144
1.7,0.9,0.668462
1.7,1.,0.672026
1.7,1.1,0.663847
1.7,1.2,0.644854
1.7,1.3,0.657929
1.7,1.4,0.637874
1.7,1.5,0.650017
1.7,1.6,0.651812
1.7,1.7,0.656117
1.7,1.8,0.648067
1.7,1.9,0.644784
1.7,2.,0.648018
1.7,2.1,0.643328
1.7,2.2,0.627615
1.7,2.3,0.644
1.7,2.4,0.648196
1.7,2.5,0.646782
1.7,2.6,0.660129
1.7,2.7,0.664531
1.7,2.8,0.663526
1.7,2.9,0.650309
1.7,3.,0.648761
1.8,0.,1.
1.8,0.1,0.773312
1.8,0.2,0.736356
1.8,0.3,0.716376
1.8,0.4,0.699071
1.8,0.5,0.686457
1.8,0.6,0.678282
1.8,0.7,0.679263
1.8,0.8,0.690765
1.8,0.9,0.699563
1.8,1.,0.669757
1.8,1.1,0.680659
1.8,1.2,0.669382
1.8,1.3,0.659704
1.8,1.4,0.657681
1.8,1.5,0.643393
1.8,1.6,0.647704
1.8,1.7,0.63721
1.8,1.8,0.650063
1.8,1.9,0.64608
1.8,2.,0.642852
1.8,2.1,0.662211
1.8,2.2,0.651454
1.8,2.3,0.650689
1.8,2.4,0.634974
1.8,2.5,0.651691
1.8,2.6,0.650225
1.8,2.7,0.679807
1.8,2.8,0.671207
1.8,2.9,0.656603
1.8,3.,0.654669
1.9,0.,1.
1.9,0.1,0.771448
1.9,0.2,0.743337
1.9,0.3,0.710968
1.9,0.4,0.724171
1.9,0.5,0.73288
1.9,0.6,0.707812
1.9,0.7,0.716662
1.9,0.8,0.683067
1.9,0.9,0.685956
1.9,1.,0.705675
1.9,1.1,0.690419
1.9,1.2,0.685716
1.9,1.3,0.669169
1.9,1.4,0.649386
1.9,1.5,0.647017
1.9,1.6,0.647152
1.9,1.7,0.654439
1.9,1.8,0.648545
1.9,1.9,0.653726
1.9,2.,0.648122
1.9,2.1,0.645679
1.9,2.2,0.645775
1.9,2.3,0.659162
1.9,2.4,0.65464
1.9,2.5,0.643227
1.9,2.6,0.643394
1.9,2.7,0.657313
1.9,2.8,0.670783
1.9,2.9,0.664182
1.9,3.,0.673049
2.,0.,1.
2.,0.1,0.792431
2.,0.2,0.75391
2.,0.3,0.707139
2.,0.4,0.699576
2.,0.5,0.721116
2.,0.6,0.724854
2.,0.7,0.692244
2.,0.8,0.714993
2.,0.9,0.710086
2.,1.,0.692123
2.,1.1,0.668491
2.,1.2,0.671899
2.,1.3,0.66568
2.,1.4,0.650373
2.,1.5,0.650461
2.,1.6,0.646672
2.,1.7,0.644986
2.,1.8,0.637599
2.,1.9,0.650468
2.,2.,0.648209
2.,2.1,0.650152
2.,2.2,0.649016
2.,2.3,0.63985
2.,2.4,0.659058
2.,2.5,0.642702
2.,2.6,0.65233
2.,2.7,0.649449
2.,2.8,0.641245
2.,2.9,0.686977
2.,3.,0.673913
2.1,0.,1.
2.1,0.1,0.797863
2.1,0.2,0.729741
2.1,0.3,0.73688
2.1,0.4,0.691277
2.1,0.5,0.723254
2.1,0.6,0.727827
2.1,0.7,0.696537
2.1,0.8,0.696914
2.1,0.9,0.696803
2.1,1.,0.697112
2.1,1.1,0.708986
2.1,1.2,0.671826
2.1,1.3,0.684071
2.1,1.4,0.688211
2.1,1.5,0.670314
