"L=11;{hx,hz,J}={1.,0.5,ConstantArray[1.,L-1]};SeedRandom[32371];ψ0E=Table[RandomChainProductState[L-1],3];Superoperator[t,ψ0E[[3]],eigenvalsH,eigenvecsH,L];"
"{0.9999999999999685, 0, 0, 0}","{0, 0.999999999999986, 0, 0}","{0, 0, 0.999999999999986, 0}","{0, 0, 0, 1.0000000000000036}"
"{0.7679597575261119, 0.09518553860438331 + 0.10641662572821589*I, 0.09518553860438331 - 0.10641662572821589*I, 0.5477224420683737}","{-0.04634157425512475 - 0.11307889729233415*I, 0.13977978236529506 - 0.19443459193551083*I, -0.1183619680259876 - 0.16572610064543097*I, -0.15829103104429132 + 0.17782945942844974*I}","{-0.04634157425512475 + 0.11307889729233415*I, -0.1183619680259876 + 0.16572610064543097*I, 0.13977978236529506 + 0.19443459193551083*I, -0.15829103104429132 - 0.17782945942844974*I}","{0.2320402424738679, -0.09518553860436915 - 0.10641662572821065*I, -0.09518553860436915 + 0.10641662572821065*I, 0.45227755793163543}"
"{0.7802016978463635, 0.12879780610351868 + 0.12897273698947428*I, 0.12879780610351868 - 0.12897273698947428*I, 0.5106171564418147}","{-0.03970266632026716 - 0.009819171852949497*I, 0.09662125019121713 - 0.19015115323832998*I, -0.09003284444450317 - 0.1176742365199854*I, -0.12963370318443554 + 0.19012095853276625*I}","{-0.03970266632026716 + 0.009819171852949497*I, -0.09003284444450317 + 0.1176742365199854*I, 0.09662125019121713 + 0.19015115323832998*I, -0.12963370318443554 - 0.19012095853276625*I}","{0.21979830215361496, -0.1287978061035071 - 0.1289727369894682*I, -0.1287978061035071 + 0.1289727369894682*I, 0.4893828435581907}"
"{0.7725532046400448, 0.1559432655574224 + 0.14268322379844578*I, 0.1559432655574224 - 0.14268322379844578*I, 0.4730239635736223}","{-0.012151892808650089 + 0.08353323565433718*I, 0.03914401914215238 - 0.16648636409122344*I, -0.0443067403193748 - 0.06490420886415195*I, -0.09045285074367183 + 0.18229516604777674*I}","{-0.012151892808650089 - 0.08353323565433718*I, -0.0443067403193748 + 0.06490420886415195*I, 0.03914401914215238 + 0.16648636409122344*I, -0.09045285074367183 - 0.18229516604777674*I}","{0.2274467953599291, -0.1559432655574131 - 0.14268322379843612*I, -0.1559432655574131 + 0.14268322379843612*I, 0.5269760364263811}"
"{0.7482673562819311, 0.1744428694111351 + 0.1451342133459699*I, 0.1744428694111351 - 0.1451342133459699*I, 0.43908166466836906}","{0.031043573519190987 + 0.15485564673194552*I, -0.022248174560798757 - 0.12153879182518716*I, 0.013258153968187858 - 0.01454274262532751*I, -0.04955116177385513 + 0.1538596747762803*I}","{0.031043573519190987 - 0.15485564673194552*I, 0.013258153968187858 + 0.01454274262532751*I, -0.022248174560798757 + 0.12153879182518716*I, -0.04955116177385513 - 0.1538596747762803*I}","{0.25173264371803805, -0.1744428694111255 - 0.14513421334595586*I, -0.1744428694111255 + 0.14513421334595586*I, 0.5609183353316358}"
"{0.7126007834900598, 0.18281516663453834 + 0.13569286801566133*I, 0.18281516663453834 - 0.13569286801566133*I, 0.41264232025135905}","{0.0810423882557695 + 0.19652348922864088*I, -0.07583173843254734 - 0.058144762025793606*I, 0.07533075659395234 + 0.027624929686127994*I, -0.01468458918145396 + 0.10808944648077351*I}","{0.0810423882557695 - 0.19652348922864088*I, 0.07533075659395234 - 0.027624929686127994*I, -0.07583173843254734 + 0.058144762025793606*I, -0.01468458918145396 - 0.10808944648077351*I}","{0.2873992165099074, -0.18281516663452538 - 0.13569286801564434*I, -0.18281516663452538 + 0.13569286801564434*I, 0.587357679748649}"
"{0.6717802536717898, 0.1805684276297903 + 0.1156264504368741*I, 0.1805684276297903 - 0.1156264504368741*I, 0.3965931957338231}","{0.12782639799158194 + 0.20654511166280462*I, -0.11139050981156819 + 0.016188955476567783*I, 0.1338383239422729 + 0.058188274874094795*I, 0.008925404007174523 + 0.05116190938914867*I}","{0.12782639799158194 - 0.20654511166280462*I, 0.1338383239422729 - 0.058188274874094795*I, -0.11139050981156819 - 0.016188955476567783*I, 0.008925404007174523 - 0.05116190938914867*I}","{0.3282197463281767, -0.18056842762977315 - 0.11562645043685563*I, -0.18056842762977315 + 0.11562645043685563*I, 0.6034068042661878}"
"{0.6318679181480285, 0.16834349718971603 + 0.08783679492257912*I, 0.16834349718971603 - 0.08783679492257912*I, 0.39240592431331134}","{0.16275236609341592 + 0.18843330889450408*I, -0.12257557599521336 + 0.09078377751912807*I, 0.18126806964300285 + 0.07643103576485491*I, 0.019223247795797968 - 0.009189046110480676*I}","{0.16275236609341592 - 0.18843330889450408*I, 0.18126806964300285 - 0.07643103576485491*I, -0.12257557599521336 - 0.09078377751912807*I, 0.019223247795797968 + 0.009189046110480676*I}","{0.36813208185193613, -0.16834349718969718 - 0.08783679492256022*I, -0.16834349718969718 + 0.08783679492256022*I, 0.6075940756867008}"
"{0.5977708019367032, 0.14785851188689136 + 0.056278099491224365*I, 0.14785851188689136 - 0.056278099491224365*I, 0.39997303933707673}","{0.18053246791584682 + 0.14993872527998878*I, -0.10818868183512467 + 0.15422093144650442*I, 0.21192714845327593 + 0.08395423007056249*I, 0.01720145708830456 - 0.06514582574034314*I}","{0.18053246791584682 - 0.14993872527998878*I, 0.21192714845327593 - 0.08395423007056249*I, -0.10818868183512467 - 0.15422093144650442*I, 0.01720145708830456 + 0.06514582574034314*I}","{0.40222919806325774, -0.1478585118868739 - 0.05627809949120673*I, -0.1478585118868739 + 0.05627809949120673*I, 0.6000269606629378}"
"{0.5725854571956651, 0.12165877280840007 + 0.025201108969463558*I, 0.12165877280840007 - 0.025201108969463558*I, 0.41772713595907823}","{0.1801486549238674 + 0.10104881081955247*I, -0.0721468096316746 + 0.19694695092705583*I, 0.22285578640502007 + 0.08382898733340934*I, 0.006257497376445799 - 0.11012072287207707*I}","{0.1801486549238674 - 0.10104881081955247*I, 0.22285578640502007 - 0.08382898733340934*I, -0.0721468096316746 - 0.19694695092705583*I, 0.006257497376445799 + 0.11012072287207707*I}","{0.4274145428042937, -0.12165877280838663 - 0.025201108969449354*I, -0.12165877280838663 + 0.025201108969449354*I, 0.5822728640409384}"
"{0.5573712002139055, 0.09272398550738288 - 0.0016028746393004275*I, 0.09272398550738288 + 0.0016028746393004275*I, 0.44298992301962786}","{0.16456777685530538 + 0.05179665377640137*I, -0.022274908092068446 + 0.21331401188190974*I, 0.21419172617007531 + 0.07959626067419777*I, -0.008764432275470302 - 0.13971601507495696*I}","{0.16456777685530538 - 0.05179665377640137*I, 0.21419172617007531 - 0.07959626067419777*I, -0.022274908092068446 - 0.21331401188190974*I, -0.008764432275470302 + 0.13971601507495696*I}","{0.4426287997860543, -0.09272398550737451 + 0.001602874639310449*I, -0.09272398550737451 - 0.001602874639310449*I, 0.5570100769803876}"
