"h_z/h_x","J/h_x","<r_n>"
0.2,0.9500000000000001,0.5289934422830781
0.2,1.,0.5403708904087711
0.25,0.05,0.40588292844906754
0.25,0.1,0.41073707305444446
0.25,0.15000000000000002,0.43001438087914606
0.25,0.2,0.4472772564169472
0.25,0.25,0.43614901430608943
0.25,0.3,0.44302792758451875
0.25,0.35000000000000003,0.45206017503089324
0.25,0.4,0.47558211142874607
0.25,0.45,0.48351474207992584
0.25,0.5,0.5004662287897079
0.25,0.55,0.5037659615957463
0.25,0.6000000000000001,0.5203843627664588
0.25,0.6500000000000001,0.5257949637993954
0.25,0.7000000000000001,0.5349386543747654
0.25,0.7500000000000001,0.5302886477114855
0.25,0.8,0.5232524070404717
0.25,0.8500000000000001,0.5315319267048241
0.25,0.9000000000000001,0.5135753549302285
0.25,0.9500000000000001,0.5167006145301933
0.25,1.,0.5236220002564823
0.3,0.05,0.40174049213153373
0.3,0.1,0.39932484444376254
0.3,0.15000000000000002,0.4236051896231807
0.3,0.2,0.4425367113591687
0.3,0.25,0.45183983053228816
0.3,0.3,0.4575902616487772
0.3,0.35000000000000003,0.4745460325007626
0.3,0.4,0.4765988951319935
0.3,0.45,0.4958413738432657
0.3,0.5,0.5030996823987512
0.3,0.55,0.5238682231488957
0.3,0.6000000000000001,0.5150952859834661
0.3,0.6500000000000001,0.5228415868021686
0.3,0.7000000000000001,0.5385214129616023
0.3,0.7500000000000001,0.5214837847491213
0.3,0.8,0.5338747308757151
0.3,0.8500000000000001,0.5219212556372272
0.3,0.9000000000000001,0.5351807127012973
0.3,0.9500000000000001,0.5212568562329599
0.3,1.,0.543190785708416
0.35000000000000003,0.05,0.41275712904744377
0.35000000000000003,0.1,0.41214535262737123
0.35000000000000003,0.15000000000000002,0.4409404714134035
0.35000000000000003,0.2,0.46256301210399153
0.35000000000000003,0.25,0.4632823338440409
0.35000000000000003,0.3,0.46067187380276775
0.35000000000000003,0.35000000000000003,0.46880595210499015
0.35000000000000003,0.4,0.49524960174411276
0.35000000000000003,0.45,0.5131599899487936
0.35000000000000003,0.5,0.5042219606933698
0.35000000000000003,0.55,0.5196633635699204
0.35000000000000003,0.6000000000000001,0.53103464313354
0.35000000000000003,0.6500000000000001,0.5362035317211167
0.35000000000000003,0.7000000000000001,0.540222279192987
0.35000000000000003,0.7500000000000001,0.5348550153853422
0.35000000000000003,0.8,0.5358387208069355
0.35000000000000003,0.8500000000000001,0.5258741557376359
0.35000000000000003,0.9000000000000001,0.5275872638478142
0.35000000000000003,0.9500000000000001,0.5462676680165077
0.35000000000000003,1.,0.5480260251187216
0.4,0.05,0.3992948316356517
0.4,0.1,0.4283790065868082
0.4,0.15000000000000002,0.4503225649802698
0.4,0.2,0.4618429691813579
0.4,0.25,0.4839749435441063
0.4,0.3,0.4798211820713172
0.4,0.35000000000000003,0.49636780849915185
0.4,0.4,0.5091931454574458
0.4,0.45,0.49851989794765283
0.4,0.5,0.5164048717231258
0.4,0.55,0.5186468663432335
0.4,0.6000000000000001,0.5283795463308614
0.4,0.6500000000000001,0.537525456151518
0.4,0.7000000000000001,0.52917307603158
0.4,0.7500000000000001,0.5252177994080665
0.4,0.8,0.5267415634568202
0.4,0.8500000000000001,0.5200023936501453
0.4,0.9000000000000001,0.5184842328367564
0.4,0.9500000000000001,0.5347584090946941
0.4,1.,0.541722218488795
0.45,0.05,0.40308164937377755
0.45,0.1,0.4191956612299223
0.45,0.15000000000000002,0.4406952181161608
0.45,0.2,0.46000560064792145
0.45,0.25,0.4657648197277626
0.45,0.3,0.47268930768616013
0.45,0.35000000000000003,0.5020927442957784
0.45,0.4,0.5016314216163887
0.45,0.45,0.4954150754018865
0.45,0.5,0.5218912295868187
0.45,0.55,0.507534889486449
0.45,0.6000000000000001,0.5255392619239377
0.45,0.6500000000000001,0.5517472896048492
0.45,0.7000000000000001,0.5305022533310549
0.45,0.7500000000000001,0.546507712934169
0.45,0.8,0.5296936824772338
0.45,0.8500000000000001,0.5181608410509074
0.45,0.9000000000000001,0.5278380512597398
0.45,0.9500000000000001,0.5229876935562381
0.45,1.,0.528382628344937
0.5,0.05,0.39231252905048586
0.5,0.1,0.4314303841401884
0.5,0.15000000000000002,0.44595766057348135
0.5,0.2,0.464501345191354
0.5,0.25,0.4866842333713243
0.5,0.3,0.49272789973199355
0.5,0.35000000000000003,0.49267374371556016
0.5,0.4,0.506533058080992
0.5,0.45,0.5025717256517674
0.5,0.5,0.5022108092508055
0.5,0.55,0.5182181646704664
0.5,0.6000000000000001,0.5110517930583939
0.5,0.6500000000000001,0.5203842389633173
0.5,0.7000000000000001,0.5188065175914662
0.5,0.7500000000000001,0.5350348981372677
0.5,0.8,0.5313202364511259
0.5,0.8500000000000001,0.5380397299764391
0.5,0.9000000000000001,0.5291415803384478
0.5,0.9500000000000001,0.5366592641685792
0.5,1.,0.5283827644348926
0.55,0.05,0.42186423069321805
0.55,0.1,0.4420524684993514
0.55,0.15000000000000002,0.4633182745638801
0.55,0.2,0.4751829796452551
0.55,0.25,0.4793919377923683
0.55,0.3,0.48210336638279194
0.55,0.35000000000000003,0.4877248659931959
0.55,0.4,0.5092434094005459
0.55,0.45,0.5052983206739482
0.55,0.5,0.5119595388467495
0.55,0.55,0.5190484163115097
0.55,0.6000000000000001,0.5259409118902681
0.55,0.6500000000000001,0.5152776421491039
0.55,0.7000000000000001,0.5140145100495024
0.55,0.7500000000000001,0.5298277208198091
